iter	Passed	Remaining
556	4276	11078
557	4282	11066
558	4288	11054
559	4294	11042
560	4300	11031
561	4306	11020
562	4313	11009
563	4319	10997
564	4325	10986
565	4332	10975
566	4338	10963
567	4344	10952
568	4349	10939
569	4357	10932
570	4363	10921
571	4370	10911
572	4378	10904
573	4387	10900
574	4396	10895
575	4403	10886
576	4410	10876
577	4416	10864
578	4422	10853
579	4429	10843
580	4435	10832
581	4441	10822
582	4447	10810
583	4454	10800
584	4460	10788
585	4466	10777
586	4472	10767
587	4478	10754
588	4484	10743
589	4491	10732
590	4497	10721
591	4503	10710
592	4509	10700
593	4515	10688
594	4521	10677
595	4528	10668
596	4535	10658
597	4541	10647
598	4547	10635
599	4553	10624
600	4559	10614
601	4566	10603
602	4572	10593
603	4578	10582
604	4585	10572
605	4591	10561
606	4597	10550
607	4603	10539
608	4609	10528
609	4615	10518
610	4621	10506
611	4627	10495
612	4634	10485
613	4640	10474
614	4646	10463
615	4652	10453
616	4658	10442
617	4664	10431
618	4670	10420
619	4676	10409
620	4683	10400
621	4689	10389
622	4695	10379
623	4701	10368
624	4706	10353
625	4713	10344
626	4719	10335
627	4726	10325
628	4732	10315
629	4738	10304
630	4744	10293
631	4750	10283
632	4756	10272
633	4763	10262
634	4769	10251
635	4775	10242
636	4782	10233
637	4790	10227
638	4798	10220
639	4806	10213
640	4813	10205
641	4820	10196
642	4826	10186
643	4833	10177
644	4840	10168
645	4849	10165
646	4856	10155
647	4863	10146
648	4869	10136
649	4876	10128
650	4883	10118
651	4889	10108
652	4897	10101
653	4905	10095
654	4913	10088
655	4920	10081
656	4928	10074
657	4935	10065
658	4942	10057
659	4950	10051
660	4958	10043
661	4965	10036
662	4973	10028
663	4979	10019
664	4986	10011
665	4993	10002
666	5001	9995
667	5007	9985
668	5015	9977
669	5021	9967
670	5027	9958
671	5034	9948
672	5041	9940
673	5048	9932
674	5055	9923
675	5062	9915
676	5068	9905
677	5075	9897
678	5081	9886
679	5088	9877
680	5094	9867
681	5100	9857
682	5108	9849
683	5114	9839
684	5120	9829
685	5126	9819
686	5132	9809
687	5138	9799
688	5144	9788
689	5151	9779
690	5157	9770
691	5163	9760
692	5170	9752
693	5177	9743
694	5183	9733
695	5189	9723
696	5195	9712
697	5201	9702
698	5207	9692
699	5214	9683
700	5220	9673
701	5226	9663
702	5232	9653
703	5238	9643
704	5245	9634
705	5251	9625
706	5258	9617
707	5265	9608
708	5273	9602
709	5281	9595
710	5288	9588
711	5296	9580
712	5303	9573
713	5310	9564
714	5317	9555
715	5323	9546
716	5329	9536
717	5335	9526
718	5341	9516
719	5347	9507
720	5353	9497
721	5360	9488
722	5366	9478
723	5373	9469
724	5379	9460
725	5385	9450
726	5391	9441
727	5398	9432
728	5404	9422
729	5411	9413
730	5417	9404
731	5423	9394
732	5429	9385
733	5436	9376
734	5442	9367
735	5449	9358
736	5455	9349
737	5461	9339
738	5467	9330
739	5473	9320
740	5480	9310
741	5486	9301
742	5492	9291
743	5498	9282
744	5504	9273
745	5510	9263
746	5516	9253
747	5522	9243
748	5529	9235
749	5535	9226
750	5541	9216
751	5548	9207
752	5554	9198
753	5561	9189
754	5568	9182
755	5574	9172
756	5580	9163
757	5587	9154
758	5593	9145
759	5599	9136
760	5605	9126
761	5611	9116
762	5617	9106
763	5623	9097
764	5629	9088
765	5636	9079
766	5642	9070
767	5648	9061
768	5654	9052
769	5661	9043
770	5667	9034
771	5673	9025
772	5679	9015
773	5685	9006
774	5692	8997
775	5699	8990
776	5707	8984
777	5715	8976
778	5722	8969
779	5730	8963
780	5737	8955
781	5744	8947
782	5751	8939
783	5757	8930
784	5763	8920
785	5769	8911
786	5775	8902
787	5781	8892
788	5787	8883
789	5794	8874
790	5800	8865
791	5806	8856
792	5813	8847
793	5819	8838
794	5825	8829
795	5832	8821
796	5838	8812
797	5844	8804
798	5851	8795
799	5857	8786
800	5863	8777
801	5870	8768
802	5876	8760
803	5883	8751
804	5890	8744
805	5896	8734
806	5902	8726
807	5909	8717
808	5915	8708
809	5921	8699
810	5927	8690
811	5933	8680
812	5939	8671
813	5945	8662
814	5952	8654
815	5958	8645
816	5965	8637
817	5971	8629
818	5977	8620
819	5984	8612
820	5990	8603
821	5996	8594
822	6003	8586
823	6009	8576
824	6016	8568
825	6022	8560
826	6028	8551
827	6034	8542
828	6040	8533
829	6046	8523
830	6053	8515
831	6059	8507
832	6066	8498
833	6072	8490
834	6078	8481
835	6085	8473
836	6091	8464
837	6098	8456
838	6104	8447
839	6110	8438
840	6117	8430
841	6123	8421
842	6130	8413
843	6137	8406
844	6144	8398
845	6151	8391
846	6158	8383
847	6167	8378
848	6174	8370
849	6181	8363
850	6187	8354
851	6193	8345
852	6199	8336
853	6205	8327
854	6212	8319
855	6218	8311
856	6224	8302
857	6231	8293
858	6237	8285
859	6243	8276
860	6249	8267
861	6255	8258
862	6262	8250
863	6268	8242
864	6274	8233
865	6281	8225
866	6287	8216
867	6293	8207
868	6299	8199
869	6306	8190
870	6312	8182
871	6319	8174
872	6325	8166
873	6332	8157
874	6338	8149
875	6344	8140
876	6350	8132
877	6356	8123
878	6362	8114
879	6368	8105
880	6375	8098
